TAZ,longitude_center,latitude_center,TAZ12_TEXT,RSA,CAA,ACRES,Area_SQMI
548,-117.9888003,33.79930757,0548,37,22,162.463314,0.25384887
549,-117.99605443,33.79198841,0549,37,22,113.693696,0.17764636
550,-117.98857034,33.79203176,0550,37,22,162.477494,0.25387103
551,-117.9947626,33.78567622,0551,37,24,131.290378,0.20514157
552,-117.98865414,33.78390047,0552,37,24,144.63884,0.22599659
553,-117.99586925,33.7774721,0553,37,24,112.326648,0.17551044
554,-117.98840801,33.77747241,0554,37,24,163.744351,0.25585205
555,-117.97923601,33.80018791,0555,37,24,116.612484,0.18220704
556,-117.97179093,33.80005079,0556,37,24,122.512934,0.19142588
557,-117.9631631,33.79945411,0557,37,24,161.91781,0.25299659
558,-117.95613894,33.79968906,0558,37,24,92.766225,0.14494719
559,-117.94731733,33.799617,0559,37,24,216.007066,0.33751098
560,-118.00465145,33.79767864,0560,37,24,122.656175,0.19165366
561,-117.98149914,33.79531702,0561,37,24,111.058089,0.17352822
562,-117.97046331,33.79465544,0562,37,24,90.500158,0.14140705
563,-118.00511377,33.79193777,0563,37,24,220.875356,0.34511884
564,-117.95514379,33.7924711,0564,37,24,137.892879,0.21545758
565,-117.94650171,33.79232195,0565,37,24,195.592555,0.30561329
566,-117.96309374,33.79219984,0566,37,24,161.831648,0.25286188
567,-117.93689515,33.79231777,0567,37,25,159.722157,0.24956686
568,-117.92816941,33.79240685,0568,37,25,160.184466,0.25028712
569,-117.91941152,33.7924731,0569,37,25,160.847389,0.25132401
570,-117.9788969,33.79092482,0570,37,24,96.197703,0.15030888
571,-117.97228525,33.79081799,0571,37,24,83.848899,0.13101388
572,-117.90185287,33.78710423,0572,37,25,238.267628,0.37229309
573,-118.02423776,33.78475011,0573,37,23,163.096434,0.25483811
574,-118.01547798,33.78469267,0574,37,23,162.535162,0.25396114
575,-118.00508129,33.78465867,0575,37,24,223.289947,0.34889007
576,-117.97973764,33.78481124,0576,37,24,160.509745,0.25079643
577,-117.9713737,33.78485963,0577,37,24,148.370174,0.23182834
578,-117.96299865,33.78491767,0578,37,24,160.996744,0.25155737
579,-117.95426027,33.7849783,0579,37,24,161.516145,0.25236892
580,-117.94550008,33.78502981,0580,37,25,160.575602,0.25089933
581,-117.93677106,33.78508633,0581,37,25,159.817801,0.24971525
582,-117.92805658,33.78518261,0582,37,25,160.333261,0.25052067
583,-117.91925765,33.7852661,0583,37,25,162.292694,0.25358227
584,-117.9105187,33.78526284,0584,37,25,158.470601,0.24761026
585,-118.03659846,33.78057916,0585,37,23,256.845536,0.40132328
586,-118.02722468,33.77746329,0586,37,23,246.505019,0.38516402
587,-118.01501658,33.77737368,0587,37,23,172.145492,0.2689733
588,-118.00445676,33.77770705,0588,37,24,197.172252,0.30808156
589,-117.9796414,33.77752715,0589,37,24,161.241521,0.25193981
590,-117.97124821,33.77757701,0590,37,24,149.322179,0.23331585
591,-117.96215766,33.77740306,0591,37,24,184.121779,0.28769021
592,-117.95360028,33.77802996,0592,37,24,139.308999,0.21767026
593,-117.94537993,33.77779977,0593,37,25,160.261047,0.25040783
594,-117.93665812,33.77787568,0594,37,25,159.284189,0.24888149
595,-117.92793275,33.77796882,0595,37,25,159.51328,0.24923944
596,-117.91954022,33.77838514,0596,37,25,141.226683,0.22066665
597,-117.91115545,33.77774685,0597,37,25,179.575437,0.28058656
598,-117.9015767,33.77808357,0598,37,25,167.731791,0.26208085
599,-117.98660285,33.77231016,0599,37,24,88.110601,0.13766673
600,-117.97646421,33.7706537,0600,37,24,121.873327,0.19042703
601,-117.97024647,33.77063023,0601,37,24,100.408686,0.15688854
602,-117.96123184,33.77034968,0602,37,24,229.268615,0.35823172
603,-117.95175484,33.77043918,0603,37,24,120.094673,0.18764788
604,-117.94316736,33.77052874,0604,37,25,198.688536,0.31045076
605,-117.93347048,33.77063696,0605,37,25,162.871018,0.25448592
606,-117.92474485,33.7707257,0606,37,25,163.191642,0.25498688
607,-117.91507462,33.77130597,0607,37,25,182.35476,0.28492924
608,-117.90721805,33.77005551,0608,37,25,139.142928,0.21741077
609,-117.89717124,33.77108817,0609,37,25,211.142849,0.32990755
610,-117.98616265,33.76874793,0610,37,24,102.410368,0.16001888
611,-117.97712218,33.763785,0611,37,24,190.659242,0.29790498
612,-117.96911637,33.76306488,0612,37,24,121.852281,0.19039011
613,-117.9603898,33.76317626,0613,37,24,196.964726,0.30775992
614,-117.94631735,33.76321438,0614,37,24,318.18346,0.49716119
615,-117.93334147,33.76331768,0615,37,25,160.99498,0.25155459
616,-117.9257557,33.76396063,0616,37,25,110.083375,0.17200524
617,-117.91158855,33.76347152,0617,37,25,322.692854,0.50420747
618,-117.92222598,33.76217798,0618,37,25,50.90286,0.0795357
619,-117.95929053,33.75778408,0619,37,24,80.886032,0.12638493
620,-117.94845103,33.75776159,0620,37,24,120.100228,0.18765679
621,-117.94622876,33.75415292,0621,37,24,200.383487,0.31309912
622,-117.91065239,33.75752307,0622,42,38,200.285567,0.31294527
623,-117.9592371,33.754079,0623,37,24,83.338535,0.13021644
624,-118.06724997,33.81375856,0624,35,21,146.645362,0.22913487
625,-118.07366631,33.81220999,0625,35,21,37.428223,0.05848256
626,-118.07662551,33.80632862,0626,35,21,162.510827,0.25393219
627,-118.06755729,33.8067858,0627,35,21,160.70984,0.25110379
628,-118.05882182,33.80852127,0628,35,19,79.837161,0.1247353
629,-118.05883685,33.80492955,0629,35,19,78.880449,0.12325807
630,-118.07858709,33.79830736,0630,35,20,330.546776,0.51647773
631,-118.0676285,33.80132841,0631,35,21,83.151378,0.12992221
632,-118.05882908,33.80129125,0632,35,21,82.235415,0.12849082
633,-118.0467877,33.80133915,0633,35,21,147.603089,0.23063409
634,-118.05215258,33.79101426,0634,35,21,1352.480399,2.11324738
635,-118.06993222,33.79225068,0635,35,21,188.040261,0.29381287
636,-118.082669,33.78990973,0636,35,20,472.714279,0.73859183
